Bulan,2015,2016,2017,2018,2019,2020,2021,2022
Januari,26.5,27.8,27,26.8,27.1,27.6,26.5,26.6
Februari,26.4,27.5,27.2,26.5,27.5,27.9,27,26.8
Maret,27.3,27.9,26.9,27,26.8,27.8,27,26.9
April,27.4,28,27.2,27.5,27.8,27.9,27.2,27.1
Mei,27.7,28.2,27.7,27.8,28.1,28,27.6,27.5
Juni,27,27.4,27.1,27.5,27.1,27.6,27.5,27.2
Juli,27.7,27.3,26.8,27.3,27.8,27.3,27,27.1
Agustus,27.6,27.6,26.7,27.3,27.7,27.6,26.8,27.2
September,27.4,27.3,27.8,27.8,27.6,27.3,26.9,27
Oktober,27.6,27.5,27.5,27.9,28.1,27.3,27.2,27
November,27.7,27.4,26.8,27.6,28,27.6,26.8,27.2
Desember,27.6,27,26.9,27,27.5,27,27,27.1
